name,weight,area,height,wall_thickness,inertia,plastic,radius,moment self,compression self
HSS50.8X50.8X3.2,4.53,606,50.8,3.18,228931,9615,19.44078359,0.092581875,0.2221965
HSS57.2X57.2X3.2,5.16,687,57.2,3.18,334195,12373,22.05357265,0.1054575,0.253098
HSS63.5X63.5X3.2,5.80,767,63.5,3.18,465286,15427,24.62553688,0.1185375,0.28449
HSS50.8X50.8X4.8,6.40,877,50.8,4.76,309686,13453,18.79575129,0.1308,0.31392
HSS76.2X76.2X3.2,7.06,929,76.2,3.18,825394,22607,29.81029017,0.14428875,0.346293
HSS57.2X57.2X4.8,7.35,998,57.2,4.76,457619,17453,21.40854035,0.150215625,0.3605175
HSS88.9X88.9X3.2,8.33,1090,88.9,3.18,1335311,31155,34.99504346,0.170244375,0.4085865
HSS63.5X63.5X4.8,8.30,1118,63.5,4.76,643158,21898,23.98050458,0.16963125,0.407115
HSS50.8X50.8X6.4,8.00,1129,50.8,6.35,371790,16728,18.14663651,0.1635,0.3924
HSS101.6X101.6X3.2,9.59,1257,102,3.18,2045834,41405,40.34309606,0.195995625,0.4703895
HSS101.6X50.8X3.2,7.06,1257,102,3.18,2045834,41405,40.34309606,0.14428875,0.346293
HSS57.2X57.2X6.4,9.26,1292,57.2,6.35,556616,21892,20.75942557,0.18925125,0.454203
HSS76.2X76.2X4.8,10.2,1360,76.2,4.76,1157018,32391,29.16525787,0.2084625,0.50031
HSS114.3X114.3X3.2,10.9,1410,114,3.18,2885295,52072,45.24207555,0.22276875,0.534645
HSS63.5X63.5X6.4,10.5,1452,63.5,6.35,790189,27653,23.3313898,0.21459375,0.515025
HSS127X127X3.2,12.1,1575,127,3.18,4024466,65005,50.54930333,0.24729375,0.593505
HSS88.9X88.9X4.8,12.1,1602,88.9,4.76,1890267,44931,34.35001116,0.24729375,0.593505
HSS139.7X139.7X3.2,13.4,1740,140,3.18,5429810,79372,55.8565311,0.2738625,0.65727
HSS63.5X63.5X7.9,12.5,1765,63.5,7.94,907854,32680,22.68227502,0.25546875,0.613125
HSS76.2X76.2X6.4,13.1,1774,76.2,6.35,1442719,41309,28.51614309,0.26773125,0.642555
HSS101.6X101.6X4.8,14.0,1851,102,4.76,2917767,60012,39.69806376,0.286125,0.6867
HSS152.4X152.4X3.2,14.7,1893,152,3.18,6987467,93905,60.75551059,0.30043125,0.721035
HSS114.3X114.3X4.8,15.9,2080,114,4.76,4136764,75737,44.59704325,0.32495625,0.779895
HSS88.9X88.9X6.4,15.6,2097,88.9,6.35,2381407,57696,33.70089638,0.318825,0.76518
HSS76.2X76.2X7.9,15.7,2168,76.2,7.94,1683558,49328,27.86702831,0.32086875,0.770085
HSS177.8X177.8X3.2,17.2,2224,178,3.18,11326852,129583,71.36996614,0.351525,0.84366
HSS127X127X4.8,17.8,2327,127,4.76,5796365,94836,49.90427103,0.3637875,0.87309
HSS101.6X101.6X6.4,18.1,2430,102,6.35,3704566,77461,39.04894898,0.36991875,0.887805
HSS76.2X76.2X9.5,18.0,2541,76.2,9.53,1882752,56480,27.21791353,0.367875,0.8829
HSS203.2X203.2X3.2,19.7,2542,203,3.18,16914249,169295,81.5761734,0.40261875,0.966285
HSS88.9X88.9X7.9,18.8,2571,88.9,7.94,2808929,69391,33.0517816,0.384225,0.92214
HSS139.7X139.7X4.8,19.7,2575,140,4.76,7849305,116080,55.2114988,0.40261875,0.966285
HSS114.3X114.3X6.4,20.7,2734,114,6.35,5281102,98116,43.94792847,0.42305625,1.015335
HSS152.4X152.4X4.8,21.6,2803,152,4.76,10129619,137593,60.11047829,0.44145,1.05948
HSS228.6X228.6X3.2,22.3,2872,229,3.18,24413108,216217,92.19062895,0.45575625,1.093815
HSS101.6X101.6X7.9,22.0,2987,102,7.94,4404982,93663,38.3998342,0.449625,1.0791
HSS88.9X88.9X9.5,21.8,3026,88.9,9.53,3176660,80047,32.40266681,0.4455375,1.06929
HSS127X127X6.4,23.2,3065,127,6.35,7434717,123244,49.25515624,0.47415,1.13796
HSS177.8X177.8X4.8,25.4,3298,178,4.76,16499099,190477,70.72493384,0.5191125,1.24587
HSS114.3X114.3X7.9,25.2,3368,114,7.94,6315156,119086,43.29881369,0.515025,1.23606
HSS139.7X139.7X6.4,25.7,3395,140,6.35,10106234,151234,54.56238402,0.52524375,1.260585
HSS101.6X101.6X9.5,25.6,3525,102,9.53,5023475,108651,37.75071942,0.5232,1.25568
HSS152.4X152.4X6.4,28.3,3700,152,6.35,13080186,179611,59.46136351,0.57838125,1.388115
HSS203.2X203.2X4.8,29.2,3774,203,4.76,24722339,249418,80.9311411,0.596775,1.43226
HSS127X127X7.9,28.3,3781,127,7.94,8933608,150069,48.60604146,0.57838125,1.388115
