name,weight,area,depth,flange_width,web_thickness,flange_thickness,inertia_x,plastic_x,radius_x,inertia_y,plastic_y,radius_y,moment_self,compression_self
W150X13,13,1630,148,100,4.32,4.95,6.2,93.9,61.7,0.828,25.6,22.6,0.2656875,0.63765
W150X13.5,13.5,1730,150,100,4.32,5.46,6.83,102,62.7,0.916,28.2,23,0.27590625,0.662175
W200X15,15,1910,200,100,4.32,5.21,12.8,145,81.8,0.87,27.2,21.4,0.3065625,0.73575
W250X17.9,17.9,2280,251,101,4.83,5.33,22.4,206,99.1,0.907,28.5,19.9,0.36583125,0.877995
W150X18,18,2290,153,102,5.84,7.11,9.2,136,63.2,1.24,38,23.3,0.367875,0.8829
W100X19.3,19.3,2470,106,103,7.11,8.76,4.7,103,43.7,1.61,47.9,25.4,0.39444375,0.946665
W200X19.3,19.3,2480,203,102,5.84,6.48,16.5,187,81.5,1.14,35.2,21.4,0.39444375,0.946665
W310X21,21,2680,302,101,5.08,5.72,36.9,285,117,0.982,31.1,19.1,0.4291875,1.03005
W250X22.3,22.3,2850,254,102,5.84,6.86,28.7,262,100,1.2,37.7,20.6,0.45575625,1.093815
W200X22.5,22.5,2860,206,102,6.22,8,20,223,83.6,1.42,43.8,22.3,0.45984375,1.103625
W150X22.5,22.5,2860,152,152,5.84,6.6,12.1,177,65,3.88,77.8,36.8,0.45984375,1.103625
W310X23.8,23.8,3040,305,101,5.59,6.73,42.9,329,119,1.17,37,19.6,0.4864125,1.16739
W130X23.8,23.8,3040,127,127,6.1,9.14,8.91,158,54.1,3.13,75.1,32,0.4864125,1.16739
W150X24,24,3060,160,102,6.6,10.3,13.4,192,66,1.84,55.6,24.6,0.4905,1.1772
W250X25.3,25.3,3220,257,102,6.1,8.38,34.1,306,103,1.48,45.9,21.5,0.51706875,1.240965
W200X26.6,26.6,3390,207,133,5.84,8.38,25.8,279,87.1,3.32,76.4,31.2,0.5436375,1.30473
W310X28.3,28.3,3590,310,102,5.97,8.89,54.1,405,122,1.57,48.8,20.9,0.57838125,1.388115
W130X28.1,28.1,3590,131,128,6.86,10.9,10.9,190,55.1,3.8,90.6,32.5,0.57429375,1.378305
W250X28.4,28.4,3630,259,102,6.35,10,40.1,354,105,1.79,54.9,22.2,0.580425,1.39302
W150X29.8,29.8,3790,157,153,6.6,9.27,17.2,246,67.6,5.54,110,38.1,0.6090375,1.46169
W200X31.3,31.3,3970,210,134,6.35,10.2,31.3,334,88.6,4.07,93.2,32,0.63969375,1.535265
W310X32.7,32.7,4180,312,102,6.6,10.8,64.9,480,125,1.94,60,21.5,0.66830625,1.603935
W360X32.9,32.9,4190,348,127,5.84,8.51,82.8,544,141,2.91,71.9,26.4,0.67239375,1.613745
W250X32.7,32.7,4190,259,146,6.1,9.14,49.1,426,108,4.75,100,33.8,0.66830625,1.603935
W200X35.9,35.9,4570,201,165,6.22,10.2,34.4,379,86.9,7.62,140,40.9,0.73370625,1.760895
W150X37.1,37.1,4740,162,154,8.13,11.6,22.2,310,68.6,7.12,140,38.6,0.75823125,1.819755
W250X38.5,38.5,4910,262,147,6.6,11.2,59.9,513,110,5.87,123,34.5,0.78684375,1.888425
W310X38.7,38.7,4940,310,165,5.84,9.65,84.9,610,131,7.2,134,38.4,0.79093125,1.898235
W410X38.8,38.8,4950,399,140,6.35,8.76,125,724,159,3.99,89.8,28.4,0.792975,1.90314
W360X39,39,4960,353,128,6.48,10.7,102,659,144,3.71,90.8,27.4,0.7970625,1.91295
W200X41.7,41.7,5320,205,166,7.24,11.8,40.8,446,87.6,9.03,166,41.1,0.85224375,2.045385
W310X44.5,44.5,5670,312,166,6.6,11.2,99.1,706,132,8.45,157,38.6,0.90946875,2.182725
W250X44.8,44.8,5700,267,148,7.62,13,70.8,600,111,6.95,145,34.8,0.9156,2.19744
W360X44,44,5710,351,171,6.86,9.78,121,775,146,8.16,147,37.8,0.89925,2.1582
W410X46.1,46.1,5890,404,140,6.99,11.2,156,885,163,5.16,115,29.7,0.94216875,2.261205
W200X46.1,46.1,5890,203,203,7.24,11,45.8,498,88.1,15.4,231,51.3,0.94216875,2.261205
W250X49.1,49.1,6260,247,202,7.37,11,71.2,636,106,15.2,229,49.3,1.00348125,2.408355
W360X51,51,6450,356,171,7.24,11.6,142,895,148,9.7,174,38.9,1.0423125,2.50155
W460X52,52,6650,450,152,7.62,10.8,212,1090,179,6.37,132,31,1.06275,2.5506
W310X52,52,6650,318,167,7.62,13.2,119,839,133,10.2,188,39.1,1.06275,2.5506
W200X52,52,6650,206,204,7.87,12.6,52.9,569,89.2,17.7,264,51.6,1.06275,2.5506
W410X53,53,6840,404,178,7.49,10.9,186,1050,165,10.2,177,38.6,1.0831875,2.59965
W360X57.8,57.8,7230,358,172,7.87,13.1,160,1010,149,11.1,198,39.4,1.1812875,2.83509
W250X58,58,7420,252,203,8,13.5,87,767,108,18.7,282,50.3,1.185375,2.8449
W310X60,60,7550,302,203,7.49,13.1,128,934,130,18.4,275,49.3,1.22625,2.943
W200X59,59,7550,210,205,9.14,14.2,60.8,652,89.7,20.4,303,51.8,1.2058125,2.89395
W460X60,60,7610,455,153,8,13.3,255,1280,183,7.95,164,32.3,1.22625,2.943
W410X60,60,7610,406,178,7.75,12.8,216,1200,168,12,208,39.9,1.22625,2.943
W360X64,64,8130,348,203,7.75,13.5,178,1140,148,18.8,283,48,1.308,3.1392
W530X66,66,8390,526,165,8.89,11.4,351,1560,205,8.62,167,32,1.348875,3.2373
W310X67,67,8450,307,204,8.51,14.6,145,1050,131,20.8,311,49.5,1.3693125,3.28635
W410X67,67,8580,409,179,8.76,14.4,244,1350,169,13.7,238,39.9,1.3693125,3.28635
W250X67,67,8580,257,204,8.89,15.7,103,900,110,22.2,333,51.1,1.3693125,3.28635
W460X68,68,8710,460,154,9.14,15.4,296,1490,184,9.37,192,32.8,1.38975,3.3354
W530X72,72,9100,523,207,8.89,10.9,399,1750,209,16.1,244,42.2,1.4715,3.5316
W360X72,72,9100,351,204,8.64,15.1,201,1280,149,21.4,321,48.5,1.4715,3.5316
W200X71,71,9100,216,206,10.2,17.4,76.6,803,91.7,25.3,375,52.8,1.4510625,3.48255
W250X73,73,9290,254,254,8.64,14.2,113,990,110,38.9,464,64.5,1.4919375,3.58065
W310X74,74,9420,310,205,9.4,16.3,163,1180,132,23.4,349,49.8,1.512375,3.6297
W530X74,74,9480,528,166,9.65,13.6,410,1800,208,10.4,200,33,1.512375,3.6297
W460X74,74,9480,457,191,9.02,14.5,333,1660,187,16.7,272,41.9,1.512375,3.6297
W410X75,75,9480,414,180,9.65,16,274,1510,170,15.5,267,40.4,1.5328125,3.67875
W360X79,79,10100,353,205,9.4,16.8,225,1430,150,24,361,48.8,1.6145625,3.87495
W310X79,79,10100,307,254,8.76,14.6,177,1280,133,39.9,477,63,1.6145625,3.87495
W250X80,80,10200,257,254,9.4,15.6,126,1090,111,42.9,513,65,1.635,3.924
W610X82,82,10500,599,178,10,12.8,562,2200,231,12.1,218,34,1.675875,4.0221
W530X82,82,10500,528,209,9.53,13.3,475,2060,213,20.1,302,43.9,1.675875,4.0221
W460X82,82,10500,460,191,9.91,16,370,1840,188,18.7,303,42.4,1.675875,4.0221
W530X85,85,10800,536,167,10.3,16.5,487,2110,212,12.7,243,34.3,1.7371875,4.16925
W410X85,85,10800,417,181,10.9,18.2,316,1720,171,17.9,310,40.6,1.7371875,4.16925
W310X86,86,11000,310,254,9.14,16.3,198,1420,134,44.5,533,63.8,1.757625,4.2183
W200X86,86,11000,222,209,13,20.6,94.9,980,92.7,31.3,457,53.3,1.757625,4.2183
W460X89,89,11400,462,192,10.5,17.7,410,2020,190,20.9,338,42.7,1.8189375,4.36545
W250X89,89,11400,259,257,10.7,17.3,142,1220,112,48.3,574,65.3,1.8189375,4.36545
W360X91,91,11500,353,254,9.53,16.4,266,1670,152,44.5,537,62.2,1.8598125,4.46355
W610X92,92,11700,602,179,10.9,15,645,2510,234,14.4,257,35.1,1.88025,4.5126
W530X92,92,11800,533,209,10.2,15.6,554,2360,217,23.9,356,45,1.88025,4.5126
W460X97,97,12300,467,193,11.4,19.1,445,2180,190,22.8,369,42.9,1.9824375,4.75785
W310X97,97,12300,307,305,9.91,15.4,222,1590,134,72.4,723,76.7,1.9824375,4.75785
W410X100,100,12600,414,259,10,16.9,397,2130,177,49.5,582,62.5,2.04375,4.905
W200X100,100,12700,229,210,14.5,23.7,113,1150,94.5,36.9,536,53.8,2.04375,4.905
W250X101,101,12800,264,257,11.9,19.6,164,1400,113,55.8,657,65.8,2.0641875,4.95405
W530X101,101,12900,536,210,10.9,17.4,616,2620,218,26.9,400,45.7,2.0641875,4.95405
W360X101,101,12900,356,254,10.5,18.3,301,1880,153,50.4,605,62.5,2.0641875,4.95405
W610X101,101,13000,602,228,10.5,14.9,762,2900,243,29.3,401,47.5,2.0641875,4.95405
W460X106,106,13500,470,194,12.6,20.6,487,2390,191,25.1,405,43.2,2.166375,5.1993
W310X107,107,13600,312,305,10.9,17,248,1770,135,81.2,806,77.2,2.1868125,5.24835
W530X109,109,13900,538,211,11.6,18.8,666,2820,219,29.4,436,46,2.2276875,5.34645
W360X110,110,14100,361,257,11.4,19.9,331,2060,153,55.8,664,63,2.248125,5.3955
W460X113,113,14400,462,279,10.8,17.3,554,2670,196,63.3,692,66.3,2.3094375,5.54265
W610X113,113,14500,607,228,11.2,17.3,874,3280,246,34.3,469,48.8,2.3094375,5.54265
W410X114,114,14600,419,262,11.6,19.3,462,2460,178,57.4,674,62.7,2.329875,5.5917
W250X115,115,14600,269,259,13.5,22.1,189,1600,114,64.1,752,66,2.3503125,5.64075
W310X117,117,15000,315,307,11.9,18.7,276,1950,136,89.9,890,77.5,2.3911875,5.73885
W360X122,122,15500,363,257,13,21.7,367,2280,154,61.6,734,63,2.493375,5.9841
